uniqueness,state,status,sizeClass,count,frequency
unique_time,CO,S1,large,46,0.61
unique_time,CO,S1,small,30,0.39
unique_time,CO,S2,large,69,0.56
unique_time,CO,S2,small,54,0.44
unique_time,FL,introduced,large,423,0.82
unique_time,FL,introduced,small,96,0.18
unique_time,FL,native,large,373,0.8
unique_time,FL,native,small,94,0.2
unique_time,FL,S1,large,129,0.74
unique_time,FL,S1,small,46,0.26
unique_time,FL,S2,large,202,0.85
unique_time,FL,S2,small,35,0.15
unique_time,GA,introduced,large,124,0.34
unique_time,GA,introduced,small,239,0.66
unique_time,GA,native,large,151,0.65
unique_time,GA,native,small,80,0.35
unique_time,GA,S1,large,9,0.64
unique_time,GA,S1,small,5,0.36
unique_time,GA,S2,large,18,0.82
unique_time,GA,S2,small,4,0.18
unique_time,MI,introduced,large,408,0.61
unique_time,MI,introduced,small,262,0.39
unique_time,MI,native,large,872,0.68
unique_time,MI,native,small,418,0.32
unique_time,MI,S1,large,41,0.71
unique_time,MI,S1,small,17,0.29
unique_time,MI,S2,large,99,0.8
unique_time,MI,S2,small,24,0.2
unique_time,TN,introduced,large,254,0.42
unique_time,TN,introduced,small,347,0.58
unique_time,TN,native,large,505,0.59
unique_time,TN,native,small,344,0.41
unique_time,TN,S1,large,42,0.4
unique_time,TN,S1,small,64,0.6
unique_time,TN,S2,large,65,0.52
unique_time,TN,S2,small,60,0.48
unique_time,WV,introduced,large,214,0.74
unique_time,WV,introduced,small,74,0.26
unique_time,WV,native,large,71,0.65
unique_time,WV,native,small,39,0.35
unique_time,WV,S1,large,35,0.92
unique_time,WV,S1,small,3,0.08
unique_time,WV,S2,large,80,0.71
unique_time,WV,S2,small,32,0.29
